classification_methode,path,validation_methode,F_mesure,precision,rappel
Random Forest,../../dataset/HAS/taken/HAS_.csv,cross Validation,0.9574660633484162,1.0,0.9206349206349206
Random Forest,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,Validation_70/30,0.9565217391304348,0.9166666666666666,1.0
Random Forest,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,cross Validation,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_AllKNN.csv,Validation_70/30,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_AllKNN.csv,cross Validation,0.9482352941176471,1.0,0.9111111111111111
Random Forest,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,Validation_70/30,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,cross Validation,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_NearMiss.csv,Validation_70/30,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_NearMiss.csv,cross Validation,0.9894736842105264,0.9800000000000001,1.0
Random Forest,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,Validation_70/30,0.9523809523809523,0.9090909090909091,1.0
Random Forest,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,cross Validation,0.9714285714285713,0.95,1.0
Random Forest,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,Validation_70/30,0.9285714285714286,0.8666666666666667,1.0
Random Forest,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,cross Validation,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_TomekLinks.csv,Validation_70/30,0.9696969696969697,1.0,0.9411764705882353
Random Forest,../../dataset/HAS/taken/HAS_TomekLinks.csv,cross Validation,0.96,1.0,0.925
Random Forest,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,Validation_70/30,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,cross Validation,1.0,1.0,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_.csv,Validation_70/30,0.7407407407407407,0.5882352941176471,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_.csv,cross Validation,0.6749601275917065,0.523003663003663,0.9666666666666666
Naive Bayes,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,Validation_70/30,0.88,0.7857142857142857,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,cross Validation,0.8967388167388167,0.8149783549783549,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_AllKNN.csv,Validation_70/30,0.7777777777777778,0.6363636363636364,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_AllKNN.csv,cross Validation,0.7108705020469726,0.5592156862745098,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,Validation_70/30,0.8,0.6666666666666666,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,cross Validation,0.7304538598656245,0.583108003108003,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_NearMiss.csv,Validation_70/30,0.896551724137931,0.8125,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_NearMiss.csv,cross Validation,0.9395458342826764,0.8884848484848484,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,Validation_70/30,0.962962962962963,0.9285714285714286,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,cross Validation,0.899399585921325,0.8497619047619047,0.9714285714285715
Naive Bayes,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,Validation_70/30,0.8666666666666666,0.7647058823529411,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,cross Validation,0.8800399806591755,0.7923015873015873,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_TomekLinks.csv,Validation_70/30,0.6857142857142856,0.5217391304347826,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_TomekLinks.csv,cross Validation,0.7049019607843138,0.5632076420311714,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,Validation_70/30,1.0,1.0,1.0
Naive Bayes,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,cross Validation,1.0,1.0,1.0
SVM,../../dataset/HAS/taken/HAS_.csv,Validation_70/30,0.8,0.6666666666666666,1.0
SVM,../../dataset/HAS/taken/HAS_.csv,cross Validation,0.7139973803286497,0.6910822510822511,0.7623015873015873
SVM,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,Validation_70/30,0.8421052631578948,0.8888888888888888,0.8
SVM,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,cross Validation,0.9049019607843137,0.8920634920634921,0.9333333333333332
SVM,../../dataset/HAS/taken/HAS_AllKNN.csv,Validation_70/30,1.0,1.0,1.0
SVM,../../dataset/HAS/taken/HAS_AllKNN.csv,cross Validation,0.9684848484848485,1.0,0.9416666666666668
SVM,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,Validation_70/30,0.9565217391304348,0.9166666666666666,1.0
SVM,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,cross Validation,0.9712918660287082,0.9618181818181817,0.9818181818181818
SVM,../../dataset/HAS/taken/HAS_NearMiss.csv,Validation_70/30,0.5454545454545454,0.5454545454545454,0.5454545454545454
SVM,../../dataset/HAS/taken/HAS_NearMiss.csv,cross Validation,0.734733893557423,0.7420634920634921,0.7783333333333333
SVM,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,Validation_70/30,0.7500000000000001,0.6923076923076923,0.8181818181818182
SVM,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,cross Validation,0.7278328173374613,0.7014285714285714,0.8787878787878789
SVM,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,Validation_70/30,0.9565217391304348,0.9166666666666666,1.0
SVM,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,cross Validation,0.9112299465240643,0.8944444444444445,0.9333333333333332
SVM,../../dataset/HAS/taken/HAS_TomekLinks.csv,Validation_70/30,0.8571428571428572,0.8181818181818182,0.9
SVM,../../dataset/HAS/taken/HAS_TomekLinks.csv,cross Validation,0.7932579185520362,0.7587301587301587,0.8380952380952381
SVM,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,Validation_70/30,0.8275862068965517,0.7058823529411765,1.0
SVM,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,cross Validation,0.7635087719298246,0.6727272727272728,0.9777777777777779
